RUN	basic.AcessoMercadoAzul1	acessomercadoazul1	1603127076813	teste	3.0.2
REQUEST	82		request_0	1603127103404	1603127110889	OK	 
REQUEST	45		request_11	1603127104996	1603127110915	OK	 
REQUEST	50		request_1	1603127104554	1603127110929	OK	 
REQUEST	20		request_1	1603127108505	1603127110940	OK	 
REQUEST	78		request_10	1603127105745	1603127110974	OK	 
REQUEST	29		request_1	1603127104578	1603127111026	OK	 
REQUEST	40		request_1	1603127104646	1603127111026	OK	 
REQUEST	42		request_2	1603127104019	1603127111091	OK	 
REQUEST	62		request_0	1603127097405	1603127111149	OK	 
USER	AcessoMercadoAzul1	108	START	1603127111154	1603127111154
REQUEST	58		request_13	1603127106894	1603127111218	OK	 
REQUEST	74		request_0	1603127100904	1603127111436	OK	 
USER	AcessoMercadoAzul1	109	START	1603127111493	1603127111493
REQUEST	50		request_5	1603127104555	1603127111546	OK	 
REQUEST	51		request_18	1603127104015	1603127111571	OK	 
REQUEST	62		request_1	1603127111151	1603127111591	OK	 
REQUEST	48		request_5	1603127108506	1603127111617	OK	 
REQUEST	59		request_1	1603127104995	1603127111687	OK	 
REQUEST	77		request_1	1603127105410	1603127111688	OK	 
REQUEST	51		request_5	1603127104013	1603127111689	OK	 
REQUEST	72		request_2	1603127103952	1603127111732	OK	 
REQUEST	33		request_0	1603127088655	1603127111732	OK	 
REQUEST	54		request_10	1603127104689	1603127111749	OK	 
REQUEST	73		request_2	1603127105437	1603127111793	OK	 
USER	AcessoMercadoAzul1	110	START	1603127111824	1603127111824
REQUEST	25		request_2	1603127103971	1603127111840	OK	 
REQUEST	48		request_1	1603127108505	1603127111840	OK	 
REQUEST	48		request_11	1603127108506	1603127111841	OK	 
REQUEST	74		request_1	1603127111437	1603127111869	OK	 
REQUEST	48		request_10	1603127108506	1603127111906	OK	 
REQUEST	99		request_0	1603127108494	1603127111954	OK	 
REQUEST	79		request_0	1603127102494	1603127111975	OK	 
USER	AcessoMercadoAzul1	111	START	1603127112153	1603127112153
REQUEST	54		request_2	1603127104688	1603127112164	OK	 
REQUEST	3		request_13	1603127094662	1603127112317	OK	 
REQUEST	46		request_2	1603127103953	1603127112338	OK	 
REQUEST	29		request_11	1603127104579	1603127112404	OK	 
USER	AcessoMercadoAzul1	112	START	1603127112404	1603127112404
USER	AcessoMercadoAzul1	113	START	1603127112654	1603127112654
REQUEST	47		request_2	1603127104578	1603127112748	OK	 
REQUEST	23		request_2	1603127104487	1603127112799	OK	 
REQUEST	93		request_0	1603127106654	1603127112799	OK	 
REQUEST	44		request_5	1603127109767	1603127112850	OK	 
REQUEST	39		request_10	1603127104635	1603127112895	OK	 
REQUEST	44		request_10	1603127109767	1603127112895	OK	 
USER	AcessoMercadoAzul1	114	START	1603127112904	1603127112904
REQUEST	20		request_2	1603127108505	1603127112921	OK	 
REQUEST	44		request_11	1603127109768	1603127112921	OK	 
REQUEST	73		request_12	1603127105438	1603127112948	OK	 
REQUEST	102		request_1	1603127110474	1603127113018	OK	 
REQUEST	71		request_11	1603127103476	1603127113018	OK	 
REQUEST	23		request_10	1603127104488	1603127113045	OK	 
REQUEST	44		request_13	1603127109768	1603127113045	OK	 
USER	AcessoMercadoAzul1	115	START	1603127113154	1603127113154
REQUEST	99		request_1	1603127111955	1603127113320	OK	 
REQUEST	31		request_10	1603127104604	1603127113361	OK	 
