RUN	basic.ListarAnuncios2	listaranuncios2	1603205856681	teste	3.0.2
REQUEST	22		css?family=Montserrat:700,500,400,300,600&display=swap	1603205880137	1603205886323	OK	 
REQUEST	26		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880131	1603205886325	OK	 
REQUEST	65		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885378	1603205886317	OK	 
REQUEST	43		request_0	1603205859065	1603205886331	OK	 
REQUEST	6		request_1	1603205885374	1603205886332	OK	 
REQUEST	76		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885210	1603205886332	OK	 
REQUEST	64		css?family=Cantarell:700,500,400,300,600&display=swap	1603205880123	1603205886332	OK	 
REQUEST	40		css?family=Montserrat:700,500,400,300,600&display=swap	1603205885278	1603205886329	OK	 
REQUEST	64		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205880121	1603205886335	OK	 
REQUEST	40		css?family=Roboto:700,500,400,300,600&display=swap	1603205885277	1603205886337	OK	 
REQUEST	84		request_14	1603205885235	1603205886337	OK	 
REQUEST	8		css?family=Cantarell:700,500,400,300,600&display=swap	1603205885243	1603205886338	OK	 
REQUEST	80		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885233	1603205886339	OK	 
REQUEST	56		request_14	1603205885174	1603205886340	OK	 
REQUEST	92		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885220	1603205886334	OK	 
REQUEST	80		css?family=Roboto:700,500,400,300,600&display=swap	1603205885199	1603205886342	OK	 
REQUEST	80		request_14	1603205885198	1603205886343	OK	 
REQUEST	92		css?family=Roboto:700,500,400,300,600&display=swap	1603205885220	1603205886345	OK	 
REQUEST	31		css?family=Ubuntu:700,500,400,300,600&display=swap	1603205885281	1603205886349	OK	 
REQUEST	53		request_1	1603205885378	1603205886350	OK	 
